appid,name,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,content_descriptorids,playtime_disconnected,has_community_visible_stats,has_leaderboards,playtime_2weeks,player_level
65930,The Bureau: XCOM Declassified,0.0,854f133d072a65e5577c2a21bf25ba863e4a6a23,0,0,0,0,0,0,0,True,0,0.0,21
55100,Homefront,0.0,52d4f669d6aa00c92406457d430ed5aa6a035c54,0,0,0,0,0,"[2, 5]",0,True,0,0.0,21
48700,Mount & Blade: Warband,0.0,0773e90a6991a5427df4ee516687d832d92b050e,0,0,0,0,0,0,0,True,0,0.0,21
35700,Trine,0.0,298185d8ef9d688fe96a5fa15ee8174892f1c000,0,0,0,0,0,0,0,True,0,0.0,21
250320,The Wolf Among Us,0.0,dee5f1476ddd237ed9faab86b59cb9ca9b275faa,0,0,0,0,0,"[1, 2, 5]",0,True,0,0.0,21
35420,Killing Floor Mod: Defence Alliance 2,0.0,ae7580a60cf77b754c723c72d5e31d530fbe7804,0,0,0,0,0,0,0,True,0,0.0,21
31250,Sam & Max 304: Beyond the Alley of the Dolls,0.0,d4f834ac9d48cd59645f453d0cb30655dee6f629,0,0,0,0,0,0,0,0,0,0.0,21
32400,STAR WARS™: Dark Forces,0.0,be8c3aab8f42f91a84aef316027fd545638f9e13,0,0,0,0,0,0,0,0,0,0.0,21
32390,STAR WARS™ Jedi Knight: Mysteries of the Sith™,0.0,e5af0881e086756eb98a963c8baed05830594f91,0,0,0,0,0,0,0,0,0,0.0,21
32380,STAR WARS™ Jedi Knight: Dark Forces II,0.0,be8c3aab8f42f91a84aef316027fd545638f9e13,0,0,0,0,0,0,0,0,0,0.0,21
32370,STAR WARS™ Knights of the Old Republic™,0.0,018b6650c8de8c9c36d957cf6f8bc11d0c21d083,0,0,0,0,0,0,0,0,0,0.0,21
31280,Poker Night at the Inventory (2010 Original Version),0.0,7d50bd1f5e7cfe68397e9ca0041836ad18153dfb,0,0,0,0,0,0,0,True,0,0.0,21
220,Half-Life 2,0.0,fcfb366051782b8ebf2aa297f3b746395858cb62,0,0,0,0,0,"[2, 5]",0,True,0,0.0,21
104900,ORION: Prelude,0.0,2e934d58e275379f19f36ddc1676aedc2ef5e862,0,0,0,0,0,"[2, 5]",0,True,0,0.0,21
107100,Bastion,0.0,8377b4460f19465c261673f76f2656bdb3288273,0,0,0,0,0,0,0,True,0,0.0,21
31220,Sam & Max 301: The Penal Zone,0.0,2c9c4ac6dfa50c4c479b6b436f04974a372588f7,0,0,0,0,0,0,0,0,0,0.0,21
8320,Bone: The Great Cow Race,0.0,dc41c95dbe719e8a8b92235558bfb973c230191f,0,0,0,0,0,0,0,0,0,0.0,21
8330,Telltale Texas Hold'Em,0.0,4d89e4c932d44e3d5c70d54618a99f3b7f844d0f,0,0,0,0,0,0,0,0,0,0.0,21
238320,Outlast,0.0,46bd3df92d4693d3b2af113bf8f31c2cbdadb20a,0,0,0,0,0,"[1, 2, 5]",0,True,0,0.0,21
234710,Poker Night 2,0.0,b3073e6f089447a9cf1eeabf7579600061546322,0,0,0,0,0,0,0,True,0,0.0,21
234140,Mad Max,0.0,71a4dd52273b749f96913a48dd6f439fb5ddc23e,0,0,0,0,0,0,0,True,0,0.0,21
225260,Brütal Legend,0.0,e3f25fba8538e5fb1ead751e767c2774df4fb0b4,0,0,0,0,0,"[1, 2, 5]",0,True,0,0.0,21
218680,Scribblenauts Unlimited,0.0,e933a9993b7d0b905dbb37636a97339a2c277e0f,0,0,0,0,0,0,0,True,0,0.0,21
214490,Alien: Isolation,0.0,7bf964858835da75630a43ac0ddbf0f66a40902f,0,0,0,0,0,[5],0,True,0,0.0,21
8850,BioShock 2,0.0,f5eda925c0e57373aaea4cae17b6f175115a8d54,0,0,0,0,0,0,0,True,0,0.0,21
210770,Sanctum 2,0.0,4cdfa1d19be460374a111b718ce3a204f21ea1dc,0,0,0,0,0,0,0,True,True,0.0,21
8870,BioShock Infinite,0.0,4ebaf5f9ee74f50152f7ff361debef7553fa0e4e,0,0,0,0,0,0,0,True,0,0.0,21
12210,Grand Theft Auto IV: The Complete Edition,0.0,a3cf6a64c73f991898a9e34681d0db8226eaa191,0,0,0,0,0,0,0,True,0,0.0,21
12250,Grand Theft Auto: San Andreas,0.0,,0,0,0,0,0,0,0,0,0,0.0,21
20920,The Witcher 2: Assassins of Kings Enhanced Edition,0.0,62dd5c627664df1bcabc47727c7dcd7ccab353e9,0,0,0,0,0,"[1, 2, 5]",0,True,True,0.0,21
201830,Jurassic Park: The Game,0.0,a01c4cd4cd09c140ecfc41d360abea823b36b9b4,0,0,0,0,0,0,0,True,0,0.0,21
94620,Hector: Ep 3,0.0,aa0a113e80b8cdeff47a523a87dd2fad1f43d73e,0,0,0,0,0,"[1, 2, 5]",0,0,0,0.0,21
