appid,playtime_forever,rtime_last_played,name,badgeid,level,completion_time,xp,scarcity,communityitemid,border_color,player_level
234140.0,0.0,0.0,Mad Max,0.0,0.0,0.0,0.0,0.0,0,0.0,18
234710.0,0.0,0.0,Poker Night 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
238320.0,0.0,0.0,Outlast,0.0,0.0,0.0,0.0,0.0,0,0.0,18
250320.0,0.0,0.0,The Wolf Among Us,0.0,0.0,0.0,0.0,0.0,0,0.0,18
330830.0,0.0,0.0,Tales from the Borderlands,0.0,0.0,0.0,0.0,0.0,0,0.0,18
391540.0,0.0,0.0,Undertale,0.0,0.0,0.0,0.0,0.0,0,0.0,18
427460.0,0.0,0.0,Battlerite Public Test,0.0,0.0,0.0,0.0,0.0,0,0.0,18
429570.0,0.0,0.0,The Walking Dead: Michonne,0.0,0.0,0.0,0.0,0.0,0,0.0,18
448510.0,0.0,0.0,Overcooked,0.0,0.0,0.0,0.0,0.0,0,0.0,18
504370.0,0.0,0.0,Battlerite,0.0,0.0,0.0,0.0,0.0,0,0.0,18
596350.0,0.0,0.0,Paladins - Public Test,0.0,0.0,0.0,0.0,0.0,0,0.0,18
1085660.0,0.0,0.0,Destiny 2,0.0,0.0,0.0,0.0,0.0,0,0.0,18
1286830.0,0.0,0.0,STAR WARS™: The Old Republic™,0.0,0.0,0.0,0.0,0.0,0,0.0,18
2362420.0,0.0,0.0,Mass Effect 2 (2010) Edition,0.0,0.0,0.0,0.0,0.0,0,0.0,18
